anchor_text_norm	slug	label	title	node_type
g	cf-1988-art-29-inc-4-ali-g	g)		alinea
g)	cf-1988-art-29-inc-4-ali-g	g)		alinea
ali h	cf-1988-art-29-inc-4-ali-h	h)		alinea
alinea h	cf-1988-art-29-inc-4-ali-h	h)		alinea
h	cf-1988-art-29-inc-4-ali-h	h)		alinea
h)	cf-1988-art-29-inc-4-ali-h	h)		alinea
ali i	cf-1988-art-29-inc-4-ali-i	i)		alinea
alinea i	cf-1988-art-29-inc-4-ali-i	i)		alinea
i	cf-1988-art-29-inc-4-ali-i	i)		alinea
i)	cf-1988-art-29-inc-4-ali-i	i)		alinea
ali j	cf-1988-art-29-inc-4-ali-j	j)		alinea
alinea j	cf-1988-art-29-inc-4-ali-j	j)		alinea
j	cf-1988-art-29-inc-4-ali-j	j)		alinea
j)	cf-1988-art-29-inc-4-ali-j	j)		alinea
ali k	cf-1988-art-29-inc-4-ali-k	k)		alinea
alinea k	cf-1988-art-29-inc-4-ali-k	k)		alinea
k	cf-1988-art-29-inc-4-ali-k	k)		alinea
k)	cf-1988-art-29-inc-4-ali-k	k)		alinea
ali l	cf-1988-art-29-inc-4-ali-l	l)		alinea
alinea l	cf-1988-art-29-inc-4-ali-l	l)		alinea
l	cf-1988-art-29-inc-4-ali-l	l)		alinea
l)	cf-1988-art-29-inc-4-ali-l	l)		alinea
ali m	cf-1988-art-29-inc-4-ali-m	m)		alinea
alinea m	cf-1988-art-29-inc-4-ali-m	m)		alinea
m	cf-1988-art-29-inc-4-ali-m	m)		alinea
m)	cf-1988-art-29-inc-4-ali-m	m)		alinea
ali n	cf-1988-art-29-inc-4-ali-n	n)		alinea
alinea n	cf-1988-art-29-inc-4-ali-n	n)		alinea
n	cf-1988-art-29-inc-4-ali-n	n)		alinea
n)	cf-1988-art-29-inc-4-ali-n	n)		alinea
ali o	cf-1988-art-29-inc-4-ali-o	o)		alinea
alinea o	cf-1988-art-29-inc-4-ali-o	o)		alinea
o	cf-1988-art-29-inc-4-ali-o	o)		alinea
o)	cf-1988-art-29-inc-4-ali-o	o)		alinea
ali p	cf-1988-art-29-inc-4-ali-p	p)		alinea
alinea p	cf-1988-art-29-inc-4-ali-p	p)		alinea
p	cf-1988-art-29-inc-4-ali-p	p)		alinea
p)	cf-1988-art-29-inc-4-ali-p	p)		alinea
ali q	cf-1988-art-29-inc-4-ali-q	q)		alinea
alinea q	cf-1988-art-29-inc-4-ali-q	q)		alinea
q	cf-1988-art-29-inc-4-ali-q	q)		alinea
q)	cf-1988-art-29-inc-4-ali-q	q)		alinea
ali r	cf-1988-art-29-inc-4-ali-r	r)		alinea
alinea r	cf-1988-art-29-inc-4-ali-r	r)		alinea
r	cf-1988-art-29-inc-4-ali-r	r)		alinea
r)	cf-1988-art-29-inc-4-ali-r	r)		alinea
ali s	cf-1988-art-29-inc-4-ali-s	s)		alinea
alinea s	cf-1988-art-29-inc-4-ali-s	s)		alinea
s	cf-1988-art-29-inc-4-ali-s	s)		alinea
s)	cf-1988-art-29-inc-4-ali-s	s)		alinea
ali t	cf-1988-art-29-inc-4-ali-t	t)		alinea
alinea t	cf-1988-art-29-inc-4-ali-t	t)		alinea
t	cf-1988-art-29-inc-4-ali-t	t)		alinea
t)	cf-1988-art-29-inc-4-ali-t	t)		alinea
ali u	cf-1988-art-29-inc-4-ali-u	u)		alinea
