anchor_text_norm	slug	label	title	node_type	namespace	variant_origin	match_priority
1 -	cf-1988-art-204-par-unico-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-206-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-208-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-209-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-21-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-212-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-212-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-213-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-214-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-216-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-216-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-216-par-2-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-216-par-6-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-217-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-22-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-220-par-3-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-221-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-225-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-227-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-227-par-3-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-227-par-8-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-23-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-235-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-24-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-25-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-25-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-26-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-27-par-2-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-29-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-29-par-2-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-3-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-30-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-34-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-34-par-10-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-34-par-2-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-35-inc-1	I		inciso	cf	inc_arab_hif	97
