com_id	artigo	process_class	process_number	process_key	relator	redator	julgamento_data	dje_data	turma	tema_rg	sumula_num	sumula_tipo	merito_status	stf_incidente	url_principal	urls_todas	link_labels	referencia	texto_preview	fonte_relator	fonte_processo
59577	cf-art-1	HC	98237	HC_98237	Celso de Mello		15-12-2009	6-8-2010	2ª T						http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=612997	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=612997	HC 98.237	 HC 98.237 , rel. min. Celso de Mello, j. 15-12-2009, 2ª T, DJE de 6-8-2010.	Julgados correlatos Controle jurisdicional da atividade persecutória do Estado: uma exigência inerente ao Estado Democrático de Direito. O Estado não tem o direito de exercer, sem base jurídica idônea	ref	ref
57066	cf-art-1	HC	99652	HC_99652	Ayres Britto		3-11-2009	4-12-2009	1ª T						http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=606537	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=606537	HC 99.652	 HC 99.652 , rel. min. Ayres Britto, j. 3-11-2009, 1ª T, DJE de 4-12-2009.	A LEP é de ser interpretada com os olhos postos em seu art. 1º. Artigo que institui a lógica da prevalência de mecanismos de reinclusão social (e não de exclusão do sujeito apenado) no exame dos direi	ref	ref
39731	cf-art-1	INQ	1376	INQ_1376	Celso de Mello		15-2-2007	16-3-2007	P		394	stf			http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=409740	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=409740	Inq 1.376 AgR	 Inq 1.376 AgR , rel. min. Celso de Mello, j. 15-2-2007, P, DJ de 16-3-2007.	Cancelamento da Súmula 394/STF ( RTJ 179/912-913). Nada pode autorizar o desequilíbrio entre os cidadãos da República. O reconhecimento da prerrogativa de foro, perante o STF, nos ilícitos penais comu	ref	ref
61917	cf-art-1	RCL	11243	RCL_11243	Gilmar Mendes	Luiz Fux	8-6-2011	5-10-2011	P						http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=610034	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=610034 | http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=1495257	Ext 1.085 | Rcl 11.243	 Rcl 11.243 , rel. min. Gilmar Mendes, red. do ac. min. Luiz Fux, j. 8-6-2011, P, DJE de 5-10-2011.	Julgados correlatos O art. 1º da Constituição assenta como um dos fundamentos do Estado brasileiro a sua soberania – que significa o poder político supremo dentro do território, e, no plano internacio	ref	ref
55127	cf-art-1	PET	3388	PET_3388	Ayres Britto		19-3-2009		P						http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=630133	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=630133	Pet 3.388	 Pet 3.388 , rel. min. Ayres Britto, j. 19-3-2009, P, DJE de 1º-7-2010.	As terras indígenas versadas pela CF de 1988 fazem parte de um território estatal-brasileiro sobre o qual incide, com exclusividade, o direito nacional. E como tudo o mais que faz parte do domínio de 	ref	ref
52507	cf-art-1	HC	72391	HC_72391	Celso de Mello		8-3-1995	17-3-1995	P						http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=80243	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=80243	HC 72.391 QO	 HC 72.391 QO , rel. min. Celso de Mello, j. 8-3-1995, P, DJE de 17-3-1995.	A imprescindibilidade do uso do idioma nacional nos atos processuais, além de corresponder a uma exigência que decorre de razões vinculadas à própria soberania nacional, constitui projeção concretizad	ref	ref
59329	cf-art-1	ADI	2649	ADI_2649	Cármen Lúcia		8-5-2008	17-10-2008	P						http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=555517	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=555517	ADI 2.649	 ADI 2.649 , rel. min. Cármen Lúcia, j. 8-5-2008, P, DJE de 17-10-2008.	Controle concentrado de constitucionalidade A Lei 8.899/1994 é parte das políticas públicas para inserir os portadores de necessidades especiais na sociedade e objetiva a igualdade de oportunidades e 	ref	ref
96644	cf-art-1	ARE	1058822	ARE_1058822	Alexandre de Moraes		21-2-2025	28-2-2025	P	1			pendente		https://portal.stf.jus.br/processos/downloadPeca.asp?id=15374289752&amp;ext=.pdf	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15374289752&amp;ext=.pdf | https://portal.stf.jus.br/jurisprudenciaRepercussao/tema.asp?num=1375	ARE 1.058.822 RG | Tema 1.375	 ARE 1.058.822 RG , rel. min. Alexandre de Moraes, j. 21-2-2025, P, DJE de 28-2-2025, Tema 1.375 , com mérito pendente.	Repercussão geral Análise da recepção da Lei nº 6.683, de 28 de agosto de 1979, em relação aos crimes permanentes e àqueles que caracterizaram graves violações aos Direitos Humanos durante a Ditadura 	ref	ref
2569	cf-art-1	HC	73454	HC_73454	Maurício Corrêa		22-4-1996	7-6-1996	2ª T						http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=74517	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=74517	HC 73.454	 HC 73.454 , rel. min. Maurício Corrêa, j. 22-4-1996, 2ª T, DJ de 7-6-1996.	Julgado correlato Ninguém é obrigado a cumprir ordem ilegal, ou a ela se submeter, ainda que emanada de autoridade judicial. Mais: é dever de cidadania opor-se à ordem ilegal; caso contrário, nega-se 	ref	ref
73735	cf-art-1										11	vinculante			https://jurisprudencia.stf.jus.br/pages/search/seq-sumula760/false	https://jurisprudencia.stf.jus.br/pages/search/seq-sumula760/false | https://jurisprudencia.stf.jus.br/pages/search/seq-sumula815/false	Súmula Vinculante 11 | Súmula Vinculante 56	 Súmula Vinculante 11 .;  Súmula Vinculante 56 .	Só é lícito o uso de algemas em casos de resistência e de fundado receio de fuga ou de perigo à integridade física própria ou alheia, por parte do preso ou de terceiros, justificada a excepcionalidade		
97187	cf-art-1	ARE	1551254	ARE_1551254	Cristiano Zanin		22-12-2025	2-2-2026	P						https://portal.stf.jus.br/processos/downloadPeca.asp?id=15383698071&amp;ext=.pdf	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15383698071&amp;ext=.pdf	ARE 1.551.254 AgR	 ARE 1.551.254 AgR , rel. min. Cristiano Zanin, j. 22-12-2025, P, DJE de 2-2-2026.	Controle concentrado de constitucionalidade Concurso público. Exames ginecológicos invasivos. Discriminação de gênero. (...) A determinação de exames ginecológicos invasivos, independentemente da idad	ref	ref
97002	cf-art-1	ADPF	466	ADPF_466	Rosa Weber	Nunes Marques	15-10-2025		P					5485351	http://portal.stf.jus.br/processos/detalhe.asp?incidente=5206804	http://portal.stf.jus.br/processos/detalhe.asp?incidente=5206804 | http://www.stf.jus.br/arquivo/cms/informativoSTF/anexo/Informativo_PDF/Informativo_stf_1195.pdf | http://portal.stf.jus.br/processos/detalhe.asp?incidente=5485351 | http://www.stf.jus.br/arquivo/cms/informativoSTF/anexo/Informativo_PDF/Informativo_stf_1195.pdf	ADPF 466 | 1.195 | ADPF 522 | 1.195	 ADPF 466 , rel. min. Rosa Weber, red. do ac. min. Nunes Marques, j. 15-10-2025, P, Informativo STF 1.195 .;  ADPF 522 , rel. min. Marco Aurélio, red. min. Cristiano Zanin, j. 15-15-2025, P, Informativo STF 1.195 .	São inconstitucionais — por usurparem a competência privativa da União para legislar sobre as diretrizes e bases da educação nacional (CF/1988, art. 22, XXIV) e por violarem preceitos fundamentais rel	ref	ref
96818	cf-art-1	ADI	4245	ADI_4245	Luís Roberto Barroso		27-8-2025		P					6985097	http://portal.stf.jus.br/processos/detalhe.asp?incidente=2679600	http://portal.stf.jus.br/processos/detalhe.asp?incidente=2679600 | http://portal.stf.jus.br/processos/detalhe.asp?incidente=6985097 | http://www.stf.jus.br/arquivo/cms/informativoSTF/anexo/Informativo_PDF/Informativo_stf_1188.pdf	ADI 4.245 | ADI 7.686 | 1.188	 ADI 4.245 e ADI 7.686 , rel. min. Luís Roberto Barroso, j. 27-8-2025, P, Informativo STF 1.188 .	"""1. A Convenção da Haia de 1980 sobre os aspectos civis da subtração internacional de crianças é compatível com a Constituição Federal, possuindo status supralegal no ordenamento jurídico brasileiro, "	ref	ref
96909	cf-art-1	ADI	7600	ADI_7600	Dias Toffoli			15-9-2025	P						https://portal.stf.jus.br/processos/downloadPeca.asp?id=15380159117&amp;ext=.pdf	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15380159117&amp;ext=.pdf | https://portal.stf.jus.br/processos/downloadPeca.asp?id=15380159260&amp;ext=.pdf | https://portal.stf.jus.br/processos/downloadPeca.asp?id=15380159706&amp;ext=.pdf	ADI 7.600 | ADI 7.601 | 7.608	 ADI 7.600 , ADI 7.601 e 7.608 , rel. min. Dias Toffoli, j. 1º-7-2025, P, DJE de 15-9-2025.	Nas diligências para a localização do bem móvel dado em garantia em alienação fiduciária e em sua apreensão, previstas nos §§ 4º, 5º e 7º do art. 8º-C do Decreto-Lei nº 911/69 (redação da Lei nº 14.71	ref	ref
96113	cf-art-1	ADPF	787	ADPF_787	Gilmar Mendes		17-10-2024	18-12-2024	P						https://portal.stf.jus.br/processos/downloadPeca.asp?id=15373008088&amp;ext=.pdf	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15373008088&amp;ext=.pdf	ADPF 787	 ADPF 787 , rel. min. Gilmar Mendes, j. 17-10-2024, P, DJE de 18-12-2024.	(...) é necessário garantir aos homens e mulheres trans acesso igualitário a todas as ações e programas de saúde do SUS, em especial aqueles relacionados à saúde sexual e reprodutiva, como agendamento	ref	ref
90134	cf-art-1	ADI	5783	ADI_5783	Rosa Weber		6-9-2023	14-11-2023	P						https://portal.stf.jus.br/processos/downloadPeca.asp?id=15362780472&amp;ext=.pdf	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15362780472&amp;ext=.pdf	ADI 5.783	 ADI 5.783 , rel. min. Rosa Weber, j. 6-9-2023, P, DJE de 14-11-2023.	Impugnado o art. 3º, § 2º, da Lei nº 12.910/2013 do Estado da Bahia, que impõe prazo à regularização fundiária das terras tradicionalmente ocupadas pelas comunidades de fundo e fecho de pasto mediante	ref	ref
90078	cf-art-1	ADI	6561	ADI_6561	Edson Fachin		4-9-2023	3-11-2023	P						http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=772302784	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=772302784	ADI 6.561	 ADI 6.561 , rel. min. Edson Fachin, j. 4-9-2023, P, DJE de 3-11-2023.	Lei 3.528 de 2019 do estado do Tocantins. Cadastro estadual de usuários e dependentes de drogas. (...) Materialmente (...) há inconstitucionalidade. A seletividade social do cadastro é incompatível co	ref	ref
89496	cf-art-1	ADPF	976	ADPF_976	Alexandre de Moraes		22-8-2023	21-9-2023	P						http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=770954718	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=770954718	ADPF 976 MC-REF	 ADPF 976 MC-REF , rel. min. Alexandre de Moraes, j. 22-8-2023, P, DJE de 21-9-2023.	População em situação de rua no Brasil. Omissões do poder público que resultam em um potencial estado de coisas inconstitucional. Possibilidade de intervenção judicial. Observância do Decreto Federal 	ref	ref
85476	cf-art-1	ADPF	779	ADPF_779	Dias Toffoli			6-10-2023	P						https://portal.stf.jus.br/processos/downloadPeca.asp?id=15361685556&amp;ext=.pdf	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15361685556&amp;ext=.pdf	ADPF 779	 ADPF 779 , rel. min. Dias Toffoli, j. 1º-8-2023, P, DJE de 6-10-2023.	"A ""legítima defesa da honra"" é recurso argumentativo/retórico odioso, desumano e cruel utilizado pelas defesas de acusados de feminicídio ou agressões contra a mulher para imputar às vítimas a causa d"	ref	ref
82047	cf-art-1	ADI	4729	ADI_4729	Gilmar Mendes		29-5-2020	16-6-2020	P						http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=752973154	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=752973154	ADI 4.729,	 ADI 4.729, voto do min. Gilmar Mendes, j. 29-5-2020, P, DJE de 16-6-2020.	(...) programas de reinserção de presos e de egressos do sistema carcerário são medidas que dão concretude aos direitos fundamentais consagrados em nossa Constituição, pois buscam efetivar a ressocial	ref	ref
82156	cf-art-1	ADI	5543	ADI_5543	Edson Fachin		11-5-2020	26-8-2020	P						http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=753608126	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=753608126	ADI 5.543	 ADI 5.543 , rel. min. Edson Fachin, j. 11-5-2020, P, DJE de 26-8-2020.	Restrição de doação de sangue a grupos e não condutas de risco. Discriminação por orientação sexual. (...) O estabelecimento de grupos – e não de condutas – de risco incorre em discriminação e viola a	ref	ref
78658	cf-art-1	ADPF	395	ADPF_395	Gilmar Mendes		14-6-2018	22-5-2019	P						http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=749901068	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=749901068 | http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=749900186	ADPF 395 | ADPF 444	 ADPF 395 e ADPF 444 , rel. min. Gilmar Mendes, j. 14-6-2018, P, DJE de 22-5-2019.	Na condução coercitiva, resta evidente que o investigado é conduzido para demonstrar sua submissão à força, o que desrespeita a dignidade da pessoa humana. (...) A condução coercitiva representa uma s	ref	ref
68515	cf-art-1	ADI	4424	ADI_4424	Marco Aurélio		9-2-2012		P	713				4469090	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=6393143	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=6393143 | http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=5717298 | http://portal.stf.jus.br/jurisprudenciaRepercussao/verAndamentoProcesso.asp?incidente=4469090&amp;numeroProcesso=773765&amp;classeProcesso=ARE&amp;numeroTema=713	ADI 4.424 | ARE 773.765 RG | Tema 713	 ADI 4.424 , voto do min. Marco Aurélio, j. 9-2-2012, P, DJE de 1º-8-2014.	Deixar a cargo da mulher autora da representação a decisão sobre o início da persecução penal significa desconsiderar o temor, a pressão psicológica e econômica, as ameaças sofridas, bem como a assime	ref	ref
86176	cf-art-1	ADI	4277	ADI_4277											http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=628635	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=628635 | http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=628633	ADI 4.277 | ADPF 132		"Reconhecimento do direito à preferência sexual como direta emanação do princípio da ""dignidade da pessoa humana"": direito à autoestima no mais elevado ponto da consciência do indivíduo. Direito à busc"		link
59360	cf-art-1	ADI	3510	ADI_3510	Ayres Britto		29-5-2008	28-5-2010	P						http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=611723	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=611723	ADI 3.510	 ADI 3.510 , rel. min. Ayres Britto, j. 29-5-2008, P, DJE de 28-5-2010.	A pesquisa científica com células-tronco embrionárias, autorizada pela Lei 11.105/2005, objetiva o enfrentamento e cura de patologias e traumatismos que severamente limitam, atormentam, infelicitam, d	ref	ref
59330	cf-art-1	ADI	2649	ADI_2649	Cármen Lúcia		8-5-2008	17-10-2008	P						http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=555517	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=555517	ADI 2.649	 ADI 2.649 , rel. min. Cármen Lúcia, j. 8-5-2008, P, DJE de 17-10-2008.	A Lei 8.899/1994 é parte das políticas públicas para inserir os portadores de necessidades especiais na sociedade e objetiva a igualdade de oportunidades e a humanização das relações sociais, em cumpr	ref	ref
93533	cf-art-1	ADPF	1107	ADPF_1107	Cármen Lúcia		23	26	P						https://portal.stf.jus.br/processos/downloadPeca.asp?id=15369430978&amp;ext=.pdf	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15369430978&amp;ext=.pdf	ADPF 1.107	 ADPF 1.107 , rel. min. Cármen Lúcia, j. 23.5.2024, P, DJE de 26.8.2024.	Ofende os princípios da igualdade e da dignidade da pessoa humana a perquirição da vítima, em processos apuratórios e julgamentos de crimes contra a dignidade sexual, quanto ao seu modo de vida e hist	ref	ref
96726	cf-art-1	ARE	959620	ARE_959620	Edson Fachin		2-4-2025	2-7-2025	P	998			julgado	4956054	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15378290402&amp;ext=.pdf	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15378290402&amp;ext=.pdf | http://portal.stf.jus.br/jurisprudenciaRepercussao/verAndamentoProcesso.asp?incidente=4956054&amp;numeroProcesso=959620&amp;classeProcesso=ARE&amp;numeroTema=998	ARE 959.620 | Tema 998	 ARE 959.620 , rel. min. Edson Fachin, j. 2-4-2025, P, DJE de 2-7-2025, Tema 998 , com mérito julgado.	"Repercussão geral ""1. Em visitas sociais nos presídios ou estabelecimentos de segregação é inadmissível a revista íntima vexatória com o desnudamento de visitantes ou exames invasivos com finalidade d"	ref	ref
96642	cf-art-1	RE	881748	RE_881748	Alexandre de Moraes		21-2-2025	28-2-2025	P	1			pendente		https://portal.stf.jus.br/processos/downloadPeca.asp?id=15374289742&amp;ext=.pdf	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15374289742&amp;ext=.pdf | https://portal.stf.jus.br/jurisprudenciaRepercussao/tema.asp?num=1374	RE 881.748 RG | Tema 1.374	 RE 881.748 RG , rel. min. Alexandre de Moraes, j. 21-2-2025, P, DJE de 28-2-2025, Tema 1.374 , com mérito pendente.	Análise da recepção da Lei nº 6.683, de 28 de agosto de 1979, em relação aos crimes permanentes e àqueles que caracterizaram graves violações aos Direitos Humanos durante a Ditadura Militar, em virtud	ref	ref
96647	cf-art-1	ARE	1316562	ARE_1316562	Alexandre de Moraes		21-2-2025	28-2-2025	P	1			pendente		https://portal.stf.jus.br/processos/downloadPeca.asp?id=15374289716&amp;ext=.pdf	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15374289716&amp;ext=.pdf | https://portal.stf.jus.br/jurisprudenciaRepercussao/tema.asp?num=1376	ARE 1.316.562 RG | Tema 1.376	 ARE 1.316.562 RG , rel. min. Alexandre de Moraes, j. 21-2-2025, P, DJE de 28-2-2025, Tema 1.376 , com mérito pendente.	Análise da recepção da Lei nº 6.683, de 28 de agosto de 1979, em relação aos crimes permanentes e àqueles que caracterizaram graves violações aos Direitos Humanos durante a Ditadura Militar, em virtud	ref	ref
96634	cf-art-1	RE	1501674	RE_1501674	Flávio Dino		14-2-2025	26-2-2025	P	1			pendente		https://portal.stf.jus.br/processos/downloadPeca.asp?id=15374225422&amp;ext=.pdf	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15374225422&amp;ext=.pdf | https://portal.stf.jus.br/jurisprudenciaRepercussao/tema.asp?num=1369	RE 1.501.674 RG | Tema 1.369	 RE 1.501.674 RG , rel. min. Flávio Dino, j. 14-2-2025, P, DJE de 26-2-2025, Tema 1.369 , com mérito pendente.	Possibilidade, ou não, de reconhecimento de anistia a crime de ocultação de cadáver (crime permanente), cujo início da execução ocorreu antes da vigência da Lei da Anistia, mas continuou de modo inint	ref	ref
91693	cf-art-1	ARE	1309642	ARE_1309642	Luís Roberto Barroso			2-4-2024	P	1			julgado		https://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=775641517	https://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=775641517 | https://portal.stf.jus.br/jurisprudenciaRepercussao/tema.asp?num=1236	ARE 1.309.642 | Tema 1.236	 ARE 1.309.642 , rel. min. Luís Roberto Barroso, j. 1º-2-2024, P, DJE de 2-4-2024, Tema 1.236 , com mérito julgado.	Separação obrigatória de bens nos casamentos e uniões estáveis com pessoa maior de setenta anos. (...) O dispositivo aqui questionado, se interpretado de maneira absoluta, como norma cogente, viola o 	ref	ref
88459	cf-art-1	RE	918315	RE_918315	Ricardo Lewandowski		17-12-2022	17-3-2023	P	1				4854789	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=766294938	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=766294938 | https://portal.stf.jus.br/jurisprudenciaRepercussao/verAndamentoProcesso.asp?incidente=4854789&amp;numeroProcesso=918315&amp;classeProcesso=RE&amp;numeroTema=1096	RE 918.315 | Tema 1.096	 RE 918.315 , rel. min. Ricardo Lewandowski, j. 17-12-2022, P, DJE de 17-3-2023, Tema 1.096 .	O pagamento dos proventos de aposentadoria por invalidez ao curador, independentemente de qualquer análise acerca da capacidade do curatelado para prática de atos da vida civil, afronta o postulado da	ref	ref
79099	cf-art-1	RE	670422	RE_670422	Dias Toffoli		15-8-2018	10-3-2020	P	761				4192182	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=752185760	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=752185760 | https://portal.stf.jus.br/jurisprudenciaRepercussao/verAndamentoProcesso.asp?incidente=4192182&amp;numeroProcesso=670422&amp;classeProcesso=RE&amp;numeroTema=761	RE 670.422 | Tema 761	 RE 670.422 , rel. min. Dias Toffoli, j. 15-8-2018, P, DJE de 10-3-2020. Tema 761 .	O transgênero tem direito fundamental subjetivo à alteração de seu prenome e de sua classificação de gênero no registro civil, não se exigindo, para tanto, nada além da manifestação da vontade do indi	ref	ref
