numero	processo	classe	incidente	peca_id	url_type	url
1103	132	ADI			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=132&CLASSE=ADI&cod_classe=504&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1104	68928	HC			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=68928&CLASSE=HC&cod_classe=349&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1105			4599102		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=4599102
1106			2593474		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=2593474
1107			2628419		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=2628419
1108	3441	ADI			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?SEQ=409108&PROCESSO=3441&CLASSE=ADI&cod_classe=504&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=&EMENTA=2267
1109				15367336701	peca	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15367336701&ext=.pdf
1110			4977265		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=4977265
1111			6213333		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=6213333
1112				15367039282	peca	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15367039282&ext=.pdf
1113	447	ADI			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=447&CLASSE=ADI&cod_classe=504&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M&EMENTA=1694
1114			6666958		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=6666958
1115				15361539937	peca	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15361539937&ext=.pdf
1116			5702414		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=5702414
1117			4252998		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=4252998
1118			2600396		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=2600396
1119			6329417		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=6329417
1120			5167293		detalhe	http://portal.stf.jus.br/processos/detalhe.asp?incidente=5167293
1121			2345725		detalhe	http://portal.stf.jus.br/processos/detalhe.asp?incidente=2345725
1122	3151	ADI			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=3151&CLASSE=ADI&cod_classe=504&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M&EMENTA=2230
1123	1942	ADI-MC			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=1942&CLASSE=ADI%2DMC&cod_classe=555&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1124			6350087		detalhe	https://portal.stf.jus.br/processos/detalhe.asp?incidente=6350087
1125	116518	RE			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?SEQ=206403&PROCESSO=116518&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=&EMENTA=1701
1126	230973	RE-AgR			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?SEQ=332424&PROCESSO=230973&CLASSE=RE%2DAgR&cod_classe=539&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=&EMENTA=1956
1127	239397	RE			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=239397&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1128	233784	RE			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=233784&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
1129	233332	RE			processo	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=233332&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M
