com_id	artigo	url	link_label	referencia	texto_preview
96909	cf-art-1	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15380159260&amp;ext=.pdf	ADI 7.601	 ADI 7.600 , ADI 7.601 e 7.608 , rel. min. Dias Toffoli, j. 1º-7-2025, P, DJE de 15-9-2025.	Nas diligências para a localização do bem móvel dado em garantia em alienação fiduciária e em sua apreensão, previstas nos §§ 4º, 5º e 7º do art. 8º-C
96909	cf-art-1	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15380159706&amp;ext=.pdf	7.608	 ADI 7.600 , ADI 7.601 e 7.608 , rel. min. Dias Toffoli, j. 1º-7-2025, P, DJE de 15-9-2025.	Nas diligências para a localização do bem móvel dado em garantia em alienação fiduciária e em sua apreensão, previstas nos §§ 4º, 5º e 7º do art. 8º-C
96113	cf-art-1	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15373008088&amp;ext=.pdf	ADPF 787	 ADPF 787 , rel. min. Gilmar Mendes, j. 17-10-2024, P, DJE de 18-12-2024.	(...) é necessário garantir aos homens e mulheres trans acesso igualitário a todas as ações e programas de saúde do SUS, em especial aqueles relaciona
90134	cf-art-1	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15362780472&amp;ext=.pdf	ADI 5.783	 ADI 5.783 , rel. min. Rosa Weber, j. 6-9-2023, P, DJE de 14-11-2023.	Impugnado o art. 3º, § 2º, da Lei nº 12.910/2013 do Estado da Bahia, que impõe prazo à regularização fundiária das terras tradicionalmente ocupadas pe
90078	cf-art-1	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=772302784	ADI 6.561	 ADI 6.561 , rel. min. Edson Fachin, j. 4-9-2023, P, DJE de 3-11-2023.	Lei 3.528 de 2019 do estado do Tocantins. Cadastro estadual de usuários e dependentes de drogas. (...) Materialmente (...) há inconstitucionalidade. A
89496	cf-art-1	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=770954718	ADPF 976 MC-REF	 ADPF 976 MC-REF , rel. min. Alexandre de Moraes, j. 22-8-2023, P, DJE de 21-9-2023.	População em situação de rua no Brasil. Omissões do poder público que resultam em um potencial estado de coisas inconstitucional. Possibilidade de int
85476	cf-art-1	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15361685556&amp;ext=.pdf	ADPF 779	 ADPF 779 , rel. min. Dias Toffoli, j. 1º-8-2023, P, DJE de 6-10-2023.	"A ""legítima defesa da honra"" é recurso argumentativo/retórico odioso, desumano e cruel utilizado pelas defesas de acusados de feminicídio ou agressões"
82047	cf-art-1	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=752973154	ADI 4.729,	 ADI 4.729, voto do min. Gilmar Mendes, j. 29-5-2020, P, DJE de 16-6-2020.	(...) programas de reinserção de presos e de egressos do sistema carcerário são medidas que dão concretude aos direitos fundamentais consagrados em no
82156	cf-art-1	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=753608126	ADI 5.543	 ADI 5.543 , rel. min. Edson Fachin, j. 11-5-2020, P, DJE de 26-8-2020.	Restrição de doação de sangue a grupos e não condutas de risco. Discriminação por orientação sexual. (...) O estabelecimento de grupos – e não de cond
78658	cf-art-1	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=749901068	ADPF 395	 ADPF 395 e ADPF 444 , rel. min. Gilmar Mendes, j. 14-6-2018, P, DJE de 22-5-2019.	Na condução coercitiva, resta evidente que o investigado é conduzido para demonstrar sua submissão à força, o que desrespeita a dignidade da pessoa hu
78658	cf-art-1	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=749900186	ADPF 444	 ADPF 395 e ADPF 444 , rel. min. Gilmar Mendes, j. 14-6-2018, P, DJE de 22-5-2019.	Na condução coercitiva, resta evidente que o investigado é conduzido para demonstrar sua submissão à força, o que desrespeita a dignidade da pessoa hu
68515	cf-art-1	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=6393143	ADI 4.424	 ADI 4.424 , voto do min. Marco Aurélio, j. 9-2-2012, P, DJE de 1º-8-2014.	Deixar a cargo da mulher autora da representação a decisão sobre o início da persecução penal significa desconsiderar o temor, a pressão psicológica e
68515	cf-art-1	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=5717298	ARE 773.765 RG	 ADI 4.424 , voto do min. Marco Aurélio, j. 9-2-2012, P, DJE de 1º-8-2014.	Deixar a cargo da mulher autora da representação a decisão sobre o início da persecução penal significa desconsiderar o temor, a pressão psicológica e
68515	cf-art-1	http://portal.stf.jus.br/jurisprudenciaRepercussao/verAndamentoProcesso.asp?incidente=4469090&amp;numeroProcesso=773765&amp;classeProcesso=ARE&amp;numeroTema=713	Tema 713	 ADI 4.424 , voto do min. Marco Aurélio, j. 9-2-2012, P, DJE de 1º-8-2014.	Deixar a cargo da mulher autora da representação a decisão sobre o início da persecução penal significa desconsiderar o temor, a pressão psicológica e
86176	cf-art-1	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=628635	ADI 4.277		"Reconhecimento do direito à preferência sexual como direta emanação do princípio da ""dignidade da pessoa humana"": direito à autoestima no mais elevado"
