numero	classe	numero_processo	relator	redator	data_julgamento	orgao	dje	tema_rg	raw
1270	HC	95.496	C						[HC 95.496, rel. min. Cezar Peluso, j. 10-3-2009, 2ª T, DJE de 17-4-2009.]
1271	HC	95.056	M						[HC 95.056, rel. min. Menezes Direito, j. 3-2-2009, 1ª T, DJE de 13-3-2009.]
1272	HC	95.277	C						[HC 95.277, rel. min. Cármen Lúcia, j. 19-12-2008, P, DJE de 20-2-2009.]
1273	HC	96.774	C						[HC 96.774, rel. min. Cármen Lúcia, j. 16-12-2008, 1ª T, DJE de 17-4-2009.]
1274	RHC	95.183	C						[RHC 95.183, rel. min. Cármen Lúcia, j. 9-12-2008, 1ª T, DJE de 17-10-2013.]
1275	HC	86.548	C						[HC 86.548, rel. min. Cezar Peluso, j. 16-10-2008, P, DJE de 19-12-2008.]
1276	HC	93.401	A						[HC 93.401, rel. min. Ayres Britto, j. 16-9-2008, 1ª T, DJE de 31-10-2008.]
1277	RHC	92.430	M						[RHC 92.430, rel. min. Marco Aurélio, j. 26-8-2008, 1ª T, DJE de 21-11-2008.]
1278	HC	94.903	M						[HC 94.903, rel. min. Menezes Direito, j. 26-8-2008, 1ª T, DJE de 10-10-2008.]
1279	RHC	90.509	M						[RHC 90.509, rel. min. Marco Aurélio, j. 19-8-2008, 1ª T, DJE de 20-2-2009.]
1280	HC	91.570	M						[HC 91.570, rel. min. Marco Aurélio, j. 19-8-2008, 1ª T, DJE de 24-10-2008.]
1281	HC	94.154	J						[HC 94.154, rel. min. Joaquim Barbosa, j. 24-6-2008, 1ª T, DJE de 19-9-2008.]
1282	HC	94.224							[HC 94.224 AgR, rel. min. Menezes Direito, j. 12-6-2008, P, DJE de 12-9-2008.]
1283	HC	93.345	M						[HC 93.345, rel. min. Menezes Direito, j. 3-6-2008, 1ª T, DJE de 1º-8-2008.]
1284	HC	92.170							[HC 92.170 segundo julgamento, red. do ac. min. Ricardo Lewandowski, j. 27-5-2008, 1ª T, DJE de 15-8-2008.]
1285	RHC	82.365	C						[RHC 82.365, rel. min. Cezar Peluso, j. 27-5-2008, 2ª T, DJE de 27-6-2008.]
1286	HC	93.942	C						[HC 93.942, rel. min. Cezar Peluso, j. 6-5-2008, 2ª T, DJE de 1º-8-2008.]
1287	HC	92.487	M						[HC 92.487, rel. min. Marco Aurélio, j. 25-3-2008, 1ª T, DJE 1º-8-2008.]
1288	HC	88.062	M						[HC 88.062, rel. min. Marco Aurélio, j. 18-3-2008, 1ª T, DJE de 9-5-2008.]
1289	HC	91.352	M						[HC 91.352, rel. min. Menezes Direito, j. 28-2-2008, P, DJE de 18-4-2008.]
1290	HC	91.760	C						[HC 91.760, rel. min. Cármen Lúcia, j. 30-10-2007, 1ª T, DJE de 29-2-2008.]
1291	HC	92.534							[HC 92.534 AgR, rel. min. Ayres Britto, j. 23-10-2007, 1ª T, DJE de 29-8-2008.]
1292	HC	91.440	R						[HC 91.440, rel. min. Ricardo Lewandowski, j. 25-9-2007, 1ª T, DJ de 11-10-2007.]
1293	HC	90.367	R						[HC 90.367, rel. min. Ricardo Lewandowski, j. 11-9-2007, 1ª T, DJ de 19-10-2007.]
1294	HC	90.138	R						[HC 90.138, rel. min. Ricardo Lewandowski, j. 11-9-2007, 1ª T, DJ de 28-9-2007.]
1295	HC	91.233	M						[HC 91.233, rel. min. Marco Aurélio, j. 19-6-2007, 1ª T, DJ de 11-10-2007.]
1296	HC	91.200	M						[HC 91.200, rel. min. Marco Aurélio, j. 19-6-2007, 1ª T, DJ de 11-10-2007.]
1297	HC	91.041	C						[HC 91.041, rel. min. Cármen Lúcia, red. do ac. min. Ayres Britto, j. 5-6-2007, 1ª T, DJ de 17-8-2007.]
1298	HC	90.554	C						[HC 90.554, rel. min. Cármen Lúcia, j. 6-3-2007, 1ª T, DJ de 23-3-2007.]
1299	HC	89.105							[HC 89.105 segunda extensão, rel. min. Gilmar Mendes, j. 27-2-2007, 2ª T, DJ de 14-9-2007.]
1300	HC	88.292	E						[HC 88.292, rel. min. Eros Grau, j. 13-6-2006, 2ª T, DJE de 4-8-2006.]
1301	HC	83.170	G						[HC 83.170, rel. min. Gilmar Mendes, j. 18-5-2006, P, DJ de 9-6-2006.]
1302	HC	86.307	A						[HC 86.307, rel. min. Ayres Britto, j. 17-11-2005, 1ª T, DJ de 26-5-2006.]
1303	HC	86.619	S						[HC 86.619, rel. min. Sepúlveda Pertence, j. 27-9-2005, 1ª T, DJ de 14-10-2005.]
1304	HC	85.185	C						[HC 85.185, rel. min. Cezar Peluso, j. 10-8-2005, P, DJ de 1º-9-2006.]
1305	RHC	85.105							[RHC 85.105 AgR, rel. min. Eros Grau, j. 28-6-2005, 1ª T, DJ de 16-9-2005.]
1306	HC	85.457	S						[HC 85.457, rel. min. Sepúlveda Pertence, j. 22-3-2005, 2ª T, DJ de 15-4-2005.]
1307	RHC	84.413	C						[RHC 84.413, rel. min. Carlos Velloso, j. 29-6-2004, 2ª T, DJ de 20-8-2004.]
1308	HC	83.162	C						[HC 83.162, rel. min. Carlos Velloso, j. 2-9-2003, 2ª T, DJ de 26-9-2003.]
1309	HC	80.744	N						[HC 80.744, rel. min. Nelson Jobim, j. 27-3-2001, 2ª T, DJ de 28-6-2002.]
1310	HC	80.623							[HC 80.623 AgR, rel. min. Celso de Mello, j. 15-2-2001, P, DJ de 6-4-2001.]
1311	HC	80.218	I						[HC 80.218, rel. min. Ilmar Galvão, j. 8-8-2000, 1ª T, DJ de 13-10-2000.]
1312	HC	79.513	S						[HC 79.513, rel. min. Sepúlveda Pertence, red. do ac. min. Ilmar Galvão, j. 28-3-2000, 1ª T, DJ de 26-9-2003.]
1313	HC	78.796	M						[HC 78.796, rel. min. Marco Aurélio, j. 15-6-1999, 2ª T, DJ de 10-9-1999.]
1314	HC	79.084	O						[HC 79.084, rel. min. Octavio Gallotti, j. 4-5-1999, 1ª T, DJ de 11-2-2000.]
1315	RHC	78.951	C						[RHC 78.951, rel. min. Carlos Velloso, j. 13-4-1999, 1ª T, DJ de 28-5-1999.]
1316	HC	75.778							[HC 75.778 QO, rel. min. Néri da Silveira, j. 28-8-1997, P, DJ de 10-10-1997.]
1317	RHC	74.860	C						[RHC 74.860, rel. min. Carlos Velloso, j. 18-2-1997, 2ª T, DJ de 6-6-1997.]
1318	HC	73.455	F						[HC 73.455, rel. min. Francisco Rezek, j. 25-6-1996, 2ª T, DJ de 7-3-1997.]
1319	HC	73.783	M						[HC 73.783, rel. min. Marco Aurélio, j. 22-5-1996, P, DJ de 1º-7-1996.]
1320	HC	72.445	M						[HC 72.445, rel. min. Marco Aurélio, j. 2-5-1995, 2ª T, DJ de 22-9-1995.]
1321	HC	72.082	F						[HC 72.082, rel. min. Francisco Rezek, j. 19-4-1995, P, DJ de 1º-3-1996.]
1322	HC	71.597	C						[HC 71.597, rel. min. Celso de Mello, j. 14-3-1995, 1ª T, DJE de 11-12-2009.]
1323	HC	71.084							[HC 71.084 QO, rel. min. Celso de Mello, j. 22-2-1994, 1ª T, DJ de 10-6-1994.]
1324	HC	69.889							[HC 69.889 diligência, rel. min. Celso de Mello, j. 2-2-1993, 1ª T, DJ de 1º-7-1993.]
1325	HC	69.780	C						[HC 69.780, rel. min. Celso de Mello, j. 1º-12-1992, 1ª T, DJ de 17-6-2005.]
1326	HC	69.570	C						[HC 69.570, rel. min. Celso de Mello, j. 29-9-1992, 1ª T, DJE de 27-10-2006.]
1327	HC	69.421	M						[HC 69.421, rel. min. Marco Aurélio, j. 30-6-1992, 2ª T, DJ de 28-8-1992.]
1328	HC	68.397	C						[HC 68.397, rel. min. Celso de Mello, j. 18-2-1992, 1ª T, DJ de 26-6-1992.]
