index	tipo	numero	label	title	texto	path	line_start
106	inciso	LIX	LIX		será admitida ação privada nos crimes de ação pública, se esta não for intentada no prazo legal;	TÍTULO II > CAPÍTULO I > Art. 5 > LIX	114
107	inciso	LX	LX		a lei só poderá restringir a publicidade dos atos processuais quando a defesa da intimidade ou o interesse social o exigirem;	TÍTULO II > CAPÍTULO I > Art. 5 > LX	115
108	inciso	LXI	LXI		ninguém será preso senão em flagrante delito ou por ordem escrita e fundamentada de autoridade judiciária competente, salvo nos casos de transgressão militar ou crime propriamente militar, definidos em lei;	TÍTULO II > CAPÍTULO I > Art. 5 > LXI	116
109	inciso	LXII	LXII		a prisão de qualquer pessoa e o local onde se encontre serão comunicados imediatamente ao juiz competente e à família do preso ou à pessoa por ele indicada;	TÍTULO II > CAPÍTULO I > Art. 5 > LXII	117
110	inciso	LXIII	LXIII		o preso será informado de seus direitos, entre os quais o de permanecer calado, sendo-lhe assegurada a assistência da família e de advogado;	TÍTULO II > CAPÍTULO I > Art. 5 > LXIII	118
111	inciso	LXIV	LXIV		o preso tem direito à identificação dos responsáveis por sua prisão ou por seu interrogatório policial;	TÍTULO II > CAPÍTULO I > Art. 5 > LXIV	119
112	inciso	LXV	LXV		a prisão ilegal será imediatamente relaxada pela autoridade judiciária;	TÍTULO II > CAPÍTULO I > Art. 5 > LXV	120
113	inciso	LXVI	LXVI		ninguém será levado à prisão ou nela mantido, quando a lei admitir a liberdade provisória, com ou sem fiança;	TÍTULO II > CAPÍTULO I > Art. 5 > LXVI	121
114	inciso	LXVII	LXVII		não haverá prisão civil por dívida, salvo a do responsável pelo inadimplemento voluntário e inescusável de obrigação alimentícia e a do depositário infiel;	TÍTULO II > CAPÍTULO I > Art. 5 > LXVII	122
115	inciso	LXVIII	LXVIII		conceder-se-á habeas corpus sempre que alguém sofrer ou se achar ameaçado de sofrer violência ou coação em sua liberdade de locomoção, por ilegalidade ou abuso de poder;	TÍTULO II > CAPÍTULO I > Art. 5 > LXVIII	123
116	inciso	LXIX	LXIX		conceder-se-á mandado de segurança para proteger direito líquido e certo, não amparado por habeas corpus ou habeas data, quando o responsável pela ilegalidade ou abuso de poder for autoridade pública ou agente de pessoa jurídica no exercício de atribuições do Poder Público;	TÍTULO II > CAPÍTULO I > Art. 5 > LXIX	124
117	inciso	LXX	LXX		o mandado de segurança coletivo pode ser impetrado por:	TÍTULO II > CAPÍTULO I > Art. 5 > LXX	125
118	alinea	a	a)		partido político com representação no Congresso Nacional;	TÍTULO II > CAPÍTULO I > Art. 5 > LXX > a)	126
119	alinea	b	b)		organização sindical, entidade de classe ou associação legalmente constituída e em funcionamento há pelo menos um ano, em defesa dos interesses de seus membros ou associados;	TÍTULO II > CAPÍTULO I > Art. 5 > LXX > b)	127
120	inciso	LXXI	LXXI		conceder-se-á mandado de injunção sempre que a falta de norma regulamentadora torne inviável o exercício dos direitos e liberdades constitucionais e das prerrogativas inerentes à nacionalidade, à soberania e à cidadania;	TÍTULO II > CAPÍTULO I > Art. 5 > LXXI	128
121	inciso	LXXII	LXXII		conceder-se-á habeas data:	TÍTULO II > CAPÍTULO I > Art. 5 > LXXII	129
122	alinea	a	a)		para assegurar o conhecimento de informações relativas à pessoa do impetrante, constantes de registros ou bancos de dados de entidades governamentais ou de caráter público;	TÍTULO II > CAPÍTULO I > Art. 5 > LXXII > a)	130
123	alinea	b	b)		para a retificação de dados, quando não se prefira fazê-lo por processo sigiloso, judicial ou administrativo;	TÍTULO II > CAPÍTULO I > Art. 5 > LXXII > b)	131
124	inciso	LXXIII	LXXIII		qualquer cidadão é parte legítima para propor ação popular que vise a anular ato lesivo ao patrimônio público ou de entidade de que o Estado participe, à moralidade administrativa, ao meio ambiente e ao patrimônio histórico e cultural, ficando o autor, salvo comprovada má-fé, isento de custas judiciais e do ônus da sucumbência;	TÍTULO II > CAPÍTULO I > Art. 5 > LXXIII	132
125	inciso	LXXIV	LXXIV		o Estado prestará assistência jurídica integral e gratuita aos que comprovarem insuficiência de recursos;	TÍTULO II > CAPÍTULO I > Art. 5 > LXXIV	133
126	inciso	LXXV	LXXV		o Estado indenizará o condenado por erro judiciário, assim como o que ficar preso além do tempo fixado na sentença;	TÍTULO II > CAPÍTULO I > Art. 5 > LXXV	134
127	inciso	LXXVI	LXXVI		são gratuitos para os reconhecidamente pobres, na forma da lei: (Vide Lei nº 7.844, de 1989)	TÍTULO II > CAPÍTULO I > Art. 5 > LXXVI	135
128	alinea	a	a)		o registro civil de nascimento;	TÍTULO II > CAPÍTULO I > Art. 5 > LXXVI > a)	136
129	alinea	b	b)		a certidão de óbito;	TÍTULO II > CAPÍTULO I > Art. 5 > LXXVI > b)	137
130	inciso	LXXVII	LXXVII		são gratuitas as ações de habeas corpus e habeas data, e, na forma da lei, os atos necessários ao exercício da cidadania. (Regulamento)	TÍTULO II > CAPÍTULO I > Art. 5 > LXXVII	138
131	inciso	LXXVIII	LXXVIII		a todos, no âmbito judicial e administrativo, são assegurados a razoável duração do processo e os meios que garantam a celeridade de sua tramitação. (Incluído pela Emenda Constitucional nº 45, de 2004) (Vide ADIN 3392)	TÍTULO II > CAPÍTULO I > Art. 5 > LXXVIII	139
