index	block_type	html_class	norm_anchor	norm_anchor_type	editorial_category	text	links_count	first_link	bracket_meta
9224	B_editorial	com-titulo	§ 2º As taxas não poderão ter base de cálculo própria de impostos.	par	controle_concentrado	Controle concentrado de constitucionalidade O pagamento da taxa se vincula apenas à alteração documental de registro do certificado de veículo automotor decorrente de transferência de propriedade. Não se confundem os procedimentos de vistoria ou inspeção de segurança veicular, que especificamente tê	0		
9228	B_editorial	com-titulo	§ 2º As taxas não poderão ter base de cálculo própria de impostos.	par	repercussao_geral	Repercussão geral A segurança pública, presentes a prevenção e o combate a incêndios, faz-se, no campo da atividade precípua, pela unidade da Federação, e, porque serviço essencial, tem como viabilizá-la a arrecadação de impostos, não cabendo ao Município a criação de taxa para tal fim. [ http://red	0		
9229	B_editorial	com-titulo	§ 2º As taxas não poderão ter base de cálculo própria de impostos.	par	julgados_correlatos	Julgados correlatos Taxa de Conservação e Manutenção das Vias Públicas. Inconstitucionalidade incidental. Acórdão que declarou a inconstitucionalidade de lei que instituiu a cobrança de Taxa de Conservação e Manutenção das Vias Públicas, por afronta ao disposto no art. 145, II, da CF. Entendimento f	1	http://www.stf.jus.br/jurisprudencia/IT/frame.asp?PROCESSO=293536&CLASSE=RE&cod_classe=437&ORIGEM=IT&RECURSO=0&TIP_JULGAMENTO=M	
9237	B_editorial	com-titulo	I - dispor sobre conflitos de competência, em matéria tributária, entre a União, os Estados, o Distr	inc	controle_concentrado	Controle concentrado de constitucionalidade A Lei Complementar 157/2016, na parte em que alterou o art. 3º, incisos XXIII, XXIV e XXV, e os parágrafos 3º e 4º do art. 6º da Lei Complementar 116/2003, prevê a incidência do ISSQN no local do domicílio do tomador de serviços. Superveniência da Lei Comp	3	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15359683210&ext=.pdf	
9240	B_editorial	com-titulo	II - regular as limitações constitucionais ao poder de tributar;	inc	controle_concentrado	Controle concentrado de constitucionalidade Imunidade. Art. 150, VI, c , da CF. (...) Com o advento da Constituição de 1988, o constituinte dedicou uma seção específica às "limitações do poder de tributar" (art. 146, II, CF) e nela fez constar a imunidade das instituições de assistência social. Mesm	0		
9241	B_editorial	com-titulo	II - regular as limitações constitucionais ao poder de tributar;	inc	repercussao_geral	Repercussão geral Aspectos procedimentais referentes à certificação, fiscalização e controle administrativo são passíveis de definição em lei ordinária, somente exigível a lei complementar para a definição do modo beneficente de atuação das entidades de assistência social contempladas no art. 195, §	2	https://portal.stf.jus.br/processos/detalhe.asp?incidente=2565291	
9245	B_editorial	com-titulo	III - estabelecer normas gerais em matéria de legislação tributária, especialmente sobre:	inc	controle_concentrado	Controle concentrado de constitucionalidade Responsabilidade solidária do representante, no país, do transportador estrangeiro pelo recolhimento do imposto de importação. (...) parágrafo único do art. 32 do Decreto-Lei 37/1966, com a redação conferida pelo art. 77 da Medida Provisória 2.158-35/2001.	1	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15372693642&ext=.pdf	
9248	B_editorial	com-titulo	III - estabelecer normas gerais em matéria de legislação tributária, especialmente sobre:	inc	repercussao_geral	Repercussão geral &ldquo;Até que seja editada lei complementar federal sobre a matéria, a multa tributária qualificada em razão de sonegação, fraude ou conluio limita-se a 100% (cem por cento) do débito tributário, podendo ser de até 150% (cento e cinquenta por cento) do débito tributário, caso se v	1	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15372464812&ext=.pdf	
9250	B_editorial	com-titulo	III - estabelecer normas gerais em matéria de legislação tributária, especialmente sobre:	inc	julgados_correlatos	Julgados correlatos A observância de normas gerais em matéria tributária é imperativo de segurança jurídica, na medida em que é necessário assegurar tratamento centralizado a alguns temas para que seja possível estabilizar legitimamente expectativas. Neste contexto, "gerais" não significa "genéricas	0		
9255	B_editorial	com-titulo	a) definição de tributos e de suas espécies, bem como, em relação aos impostos discriminados nesta C	ali	controle_concentrado	Controle concentrado de constitucionalidade ISS. Relações mistas ou complexas. (...) O art. 3º, § 1º, da LC 116/03 não viola os princípios da proporcionalidade e da razoabilidade. Ele estabelece que se considera ocorrido o fato gerador e devido o imposto em cada município em cujo território haja ext	0		
